Frequency (Hz)	Level (dB)
5081.835938	-67.892174
5103.369141	-67.735458
5124.902344	-67.604317
5146.435547	-67.811691
5167.968750	-67.787865
5189.501953	-67.946396
5211.035156	-67.908585
5232.568359	-68.247658
5254.101563	-68.272369
5275.634766	-67.835838
5297.167969	-68.874611
5318.701172	-68.819290
5340.234375	-68.983536
5361.767578	-68.174988
5383.300781	-68.061317
5404.833984	-68.205757
5426.367188	-67.211555
5447.900391	-68.377243
5469.433594	-68.155022
5490.966797	-68.138702
5512.500000	-68.234688
5534.033203	-66.832161
5555.566406	-67.319038
5577.099609	-68.540863
5598.632813	-69.975182
5620.166016	-69.758041
5641.699219	-68.555618
5663.232422	-67.888718
5684.765625	-68.139259
5706.298828	-69.154968
5727.832031	-68.777855
5749.365234	-69.041267
5770.898438	-68.726410
5792.431641	-69.230476
5813.964844	-69.358864
5835.498047	-68.739914
5857.031250	-68.531738
5878.564453	-68.629417
5900.097656	-68.909615
5921.630859	-68.174698
5943.164063	-67.915726
5964.697266	-68.083809
5986.230469	-68.518639
6007.763672	-70.114365
6029.296875	-69.576302
6050.830078	-68.877991
6072.363281	-69.718254
6093.896484	-69.000404
6115.429688	-68.960190
6136.962891	-69.984070
6158.496094	-67.798744
6180.029297	-67.935196
6201.562500	-68.998436
6223.095703	-68.466995
6244.628906	-68.187691
6266.162109	-68.504028
6287.695313	-69.352676
6309.228516	-69.496254
6330.761719	-70.254944
6352.294922	-70.022118
6373.828125	-69.853622
6395.361328	-69.770355
6416.894531	-70.062004
6438.427734	-69.971535
6459.960938	-69.281792
6481.494141	-70.108452
6503.027344	-70.225212
6524.560547	-69.778694
6546.093750	-69.326851
6567.626953	-70.121506
6589.160156	-71.525681
6610.693359	-69.717216
6632.226563	-69.220528
6653.759766	-69.961983
6675.292969	-70.784035
6696.826172	-70.605568
6718.359375	-70.362663
6739.892578	-68.961021
6761.425781	-69.383041
6782.958984	-70.392189
6804.492188	-70.224670
6826.025391	-69.565720
6847.558594	-69.602592
6869.091797	-70.266273
6890.625000	-70.802368
6912.158203	-70.201584
6933.691406	-70.734032
6955.224609	-71.252472
6976.757813	-70.531990
6998.291016	-70.451286
7019.824219	-70.737885
7041.357422	-69.660477
7062.890625	-70.511757
7084.423828	-70.460556
7105.957031	-70.969093
7127.490234	-70.490059
7149.023438	-71.394852
7170.556641	-70.777199
7192.089844	-70.757744
7213.623047	-71.329468
7235.156250	-70.997200
7256.689453	-71.073532
7278.222656	-72.102905
7299.755859	-72.012001
7321.289063	-72.056778
7342.822266	-72.624649
7364.355469	-71.537514
7385.888672	-71.171638
7407.421875	-70.353615
7428.955078	-70.944496
7450.488281	-71.367340
7472.021484	-71.993340
7493.554688	-72.019722
7515.087891	-71.670654
7536.621094	-72.875298
7558.154297	-72.389359
7579.687500	-71.339058
7601.220703	-71.235962
7622.753906	-69.713699
7644.287109	-70.095474
7665.820313	-71.726135
7687.353516	-71.765564
7708.886719	-71.254143
7730.419922	-69.984444
7751.953125	-70.568611
7773.486328	-70.357201
7795.019531	-69.689667
7816.552734	-70.893860
7838.085938	-71.230537
7859.619141	-71.156509
7881.152344	-70.917419
7902.685547	-71.473480
7924.218750	-70.946106
7945.751953	-71.375397
7967.285156	-71.855438
7988.818359	-71.312431
8010.351563	-71.616959
8031.884766	-71.245544
8053.417969	-70.586784
8074.951172	-72.128868
8096.484375	-72.485390
8118.017578	-71.367264
8139.550781	-70.766075
8161.083984	-70.349022
8182.617188	-71.451408
8204.150391	-71.991364
8225.683594	-73.099030
8247.216797	-72.167694
8268.750000	-71.594597
8290.283203	-72.524910
8311.816406	-73.049988
8333.349609	-73.335640
8354.882813	-72.613091
8376.416016	-73.053482
8397.949219	-73.942726
8419.482422	-73.237076
8441.015625	-72.727730
8462.548828	-72.779747
8484.082031	-72.753990
8505.615234	-72.375488
8527.148438	-73.228745
8548.681641	-74.270523
8570.214844	-73.943092
8591.748047	-72.555328
8613.281250	-72.458855
8634.814453	-73.209305
8656.347656	-72.723221
8677.880859	-72.344528
8699.414063	-72.980400
8720.947266	-72.893944
8742.480469	-71.277519
8764.013672	-72.584526
8785.546875	-73.013954
8807.080078	-73.393143
8828.613281	-73.925812
8850.146484	-73.828613
8871.679688	-73.680923
8893.212891	-74.198402
8914.746094	-74.750153
8936.279297	-75.699776
8957.812500	-75.247673
8979.345703	-73.680527
9000.878906	-74.496071
9022.412109	-73.892136
9043.945313	-72.894127
9065.478516	-74.081818
9087.011719	-73.543831
9108.544922	-74.169930
9130.078125	-74.354851
9151.611328	-73.940338
9173.144531	-73.825424
9194.677734	-74.038902
9216.210938	-74.653404
9237.744141	-74.609253
9259.277344	-74.384041
9280.810547	-74.418694
9302.343750	-74.308922
9323.876953	-75.286156
9345.410156	-76.051163
9366.943359	-74.609711
9388.476563	-73.872368
9410.009766	-75.559937
9431.542969	-76.693916
9453.076172	-75.822281
9474.609375	-75.426880
9496.142578	-75.713966
9517.675781	-75.203270
9539.208984	-75.785187
9560.742188	-75.659386
9582.275391	-74.861900
9603.808594	-75.040726
9625.341797	-75.462616
9646.875000	-77.399422
9668.408203	-76.331696
9689.941406	-74.882935
9711.474609	-74.384087
9733.007813	-75.172600
9754.541016	-75.946823
9776.074219	-74.806122
9797.607422	-75.116669
9819.140625	-76.435905
9840.673828	-75.893150
9862.207031	-77.074844
9883.740234	-78.614090
9905.273438	-75.539047
9926.806641	-76.458221
9948.339844	-77.060020
9969.873047	-76.299438
9991.406250	-75.646851
10012.939453	-77.218086
10034.472656	-77.724861
10056.005859	-76.889153
10077.539063	-77.256882
10099.072266	-77.631989
10120.605469	-77.751205
10142.138672	-76.926247
10163.671875	-76.624947
10185.205078	-75.944023
10206.738281	-76.611465
10228.271484	-76.931068
10249.804688	-75.473488
10271.337891	-76.075218
10292.871094	-75.316910
10314.404297	-75.687759
10335.937500	-76.075195
10357.470703	-76.112083
10379.003906	-76.269005
10400.537109	-76.132271
10422.070313	-77.090286
10443.603516	-76.813995
10465.136719	-76.512482
10486.669922	-75.952599
10508.203125	-76.593155
10529.736328	-76.271667
10551.269531	-76.449318
10572.802734	-75.973953
10594.335938	-76.107437
10615.869141	-77.738739
10637.402344	-77.378242
10658.935547	-78.026894
10680.468750	-78.127075
10702.001953	-77.730751
10723.535156	-76.873650
10745.068359	-77.938629
10766.601563	-78.001213
10788.134766	-77.483772
10809.667969	-76.993736
10831.201172	-77.302292
10852.734375	-77.907822
10874.267578	-76.633362
10895.800781	-76.314880
10917.333984	-77.073837
10938.867188	-77.436264
10960.400391	-77.410439
10981.933594	-78.199448
11003.466797	-78.872086
11025.000000	-77.590897
11046.533203	-77.473083
11068.066406	-77.760620
11089.599609	-76.587540
11111.132813	-76.894356
11132.666016	-77.315071
11154.199219	-76.764458
11175.732422	-77.583389
11197.265625	-76.940559
11218.798828	-77.149948
11240.332031	-76.837051
11261.865234	-76.984596
11283.398438	-78.637856
11304.931641	-78.434021
11326.464844	-77.741539
11347.998047	-77.544998
11369.531250	-77.385628
11391.064453	-77.749428
11412.597656	-78.008240
11434.130859	-77.953735
11455.664063	-78.591438
11477.197266	-77.571915
11498.730469	-78.681046
11520.263672	-79.356850
11541.796875	-79.433182
11563.330078	-79.011284
11584.863281	-78.938484
11606.396484	-78.538910
11627.929688	-78.519836
11649.462891	-77.874153
11670.996094	-78.683182
11692.529297	-78.165848
11714.062500	-78.824135
11735.595703	-78.835358
11757.128906	-78.672791
11778.662109	-77.831100
11800.195313	-78.459389
11821.728516	-79.175529
11843.261719	-77.846664
11864.794922	-79.537102
11886.328125	-79.512711
11907.861328	-80.225838
11929.394531	-79.304268
11950.927734	-79.055557
11972.460938	-79.884689
11993.994141	-79.591797
12015.527344	-79.264839
12037.060547	-79.052330
12058.593750	-79.702469
12080.126953	-79.041992
12101.660156	-79.552376
12123.193359	-79.458855
12144.726563	-78.796356
12166.259766	-78.387428
12187.792969	-78.298492
12209.326172	-79.053802
12230.859375	-78.895088
12252.392578	-78.800133
12273.925781	-79.996872
12295.458984	-81.328468
12316.992188	-80.132500
12338.525391	-79.996918
12360.058594	-80.296043
12381.591797	-80.654701
12403.125000	-81.098007
12424.658203	-81.248672
12446.191406	-81.417580
12467.724609	-80.791733
12489.257813	-80.646156
12510.791016	-81.066139
12532.324219	-80.969025
12553.857422	-80.356834
12575.390625	-81.167366
12596.923828	-81.175079
12618.457031	-80.804413
12639.990234	-81.583641
12661.523438	-81.793724
12683.056641	-82.047783
12704.589844	-81.377861
12726.123047	-81.375793
12747.656250	-81.694077
12769.189453	-81.047264
12790.722656	-81.097908
12812.255859	-80.581757
12833.789063	-80.081703
12855.322266	-80.642227
12876.855469	-81.392334
12898.388672	-81.985573
12919.921875	-81.897354
12941.455078	-81.510559
12962.988281	-82.165497
12984.521484	-82.108902
13006.054688	-80.914734
13027.587891	-81.986473
13049.121094	-80.663002
13070.654297	-80.056404
13092.187500	-81.066795
13113.720703	-82.144707
13135.253906	-81.616982
13156.787109	-81.028564
13178.320313	-81.075859
13199.853516	-81.111633
13221.386719	-81.857330
13242.919922	-81.239754
13264.453125	-82.166664
13285.986328	-81.912651
13307.519531	-81.152046
13329.052734	-80.209602
13350.585938	-81.141029
13372.119141	-81.518005
13393.652344	-82.926781
13415.185547	-82.736031
13436.718750	-81.969589
13458.251953	-80.878960
13479.785156	-81.565811
13501.318359	-81.468781
13522.851563	-81.222321
13544.384766	-82.154091
13565.917969	-81.693527
13587.451172	-82.231789
13608.984375	-83.012589
13630.517578	-82.461647
13652.050781	-82.318344
13673.583984	-82.240776
13695.117188	-82.309525
13716.650391	-82.600563
13738.183594	-84.681305
13759.716797	-84.472343
13781.250000	-82.537674
13802.783203	-82.540192
13824.316406	-82.807816
13845.849609	-82.911697
13867.382813	-83.286827
13888.916016	-84.542671
13910.449219	-83.830025
13931.982422	-84.265129
13953.515625	-83.682327
13975.048828	-82.722649
13996.582031	-83.197235
14018.115234	-83.446808
14039.648438	-83.782761
14061.181641	-84.017960
14082.714844	-83.744141
14104.248047	-84.191376
14125.781250	-84.801125
14147.314453	-83.512077
14168.847656	-83.531418
14190.380859	-83.595512
14211.914063	-84.941833
14233.447266	-84.758972
14254.980469	-84.661438
14276.513672	-83.718521
14298.046875	-83.124969
14319.580078	-83.739616
14341.113281	-83.917267
14362.646484	-83.017426
14384.179688	-82.852936
14405.712891	-83.906380
14427.246094	-84.741646
14448.779297	-84.791237
14470.312500	-83.363495
14491.845703	-83.917236
14513.378906	-84.922302
14534.912109	-85.256798
14556.445313	-84.296486
14577.978516	-83.767281
14599.511719	-85.157700
14621.044922	-84.971870
14642.578125	-84.869072
14664.111328	-84.196663
14685.644531	-85.536499
14707.177734	-85.030769
14728.710938	-85.331772
14750.244141	-85.764862
14771.777344	-86.284592
14793.310547	-85.120293
14814.843750	-83.670525
14836.376953	-85.055771
14857.910156	-84.595253
14879.443359	-85.003769
14900.976563	-84.128304
14922.509766	-83.642082
14944.042969	-85.082130
14965.576172	-85.863762
14987.109375	-85.546188
15008.642578	-85.368019
15030.175781	-84.218071
15051.708984	-83.591515
15073.242188	-84.464020
15094.775391	-85.043098
15116.308594	-85.673485
15137.841797	-85.328003
15159.375000	-85.760925
15180.908203	-86.672127
15202.441406	-85.961418
15223.974609	-85.940491
15245.507813	-86.390236
15267.041016	-86.694359
15288.574219	-87.274178
15310.107422	-86.479279
15331.640625	-86.644020
15353.173828	-88.094124
15374.707031	-87.088249
15396.240234	-85.704010
15417.773438	-85.726112
15439.306641	-86.592812
15460.839844	-86.363327
15482.373047	-86.484520
15503.906250	-87.435394
15525.439453	-87.385025
15546.972656	-87.094048
15568.505859	-86.503258
15590.039063	-87.643379
15611.572266	-87.697754
15633.105469	-85.757103
15654.638672	-85.504166
15676.171875	-86.092934
15697.705078	-86.208542
15719.238281	-87.183823
15740.771484	-87.802155
15762.304688	-86.650253
15783.837891	-85.500061
15805.371094	-86.076759
15826.904297	-86.619545
15848.437500	-86.784012
15869.970703	-87.457314
15891.503906	-87.392448
15913.037109	-87.449364
15934.570313	-88.636833
15956.103516	-87.552727
15977.636719	-86.911926
15999.169922	-87.004517
16020.703125	-88.032753
16042.236328	-86.982796
16063.769531	-87.151451
16085.302734	-87.954262
16106.835938	-87.294502
16128.369141	-87.764015
16149.902344	-87.435509
16171.435547	-87.247009
16192.968750	-86.801315
16214.501953	-88.001503
16236.035156	-87.120636
16257.568359	-88.179207
16279.101563	-88.309944
16300.634766	-87.867447
16322.167969	-87.951576
16343.701172	-88.752754
16365.234375	-88.414200
16386.767578	-87.985809
16408.300781	-88.829819
16429.833984	-89.860237
16451.367188	-88.417152
16472.900391	-87.650589
16494.433594	-88.675987
16515.966797	-88.901901
16537.500000	-89.114616
16559.033203	-88.505013
16580.566406	-87.520058
16602.099609	-87.265472
16623.632813	-88.542526
16645.166016	-87.521683
16666.699219	-87.876686
16688.232422	-87.618538
16709.765625	-89.104248
16731.298828	-89.301193
16752.832031	-88.194321
16774.365234	-89.143051
16795.898438	-88.336555
16817.431641	-88.544426
16838.964844	-88.903816
16860.498047	-90.277199
16882.031250	-88.972198
16903.564453	-90.077171
16925.097656	-88.395164
16946.630859	-88.012062
16968.164063	-87.894569
16989.697266	-88.762093
17011.230469	-88.694374
17032.763672	-88.652542
17054.296875	-89.365875
17075.830078	-89.613052
17097.363281	-89.925133
17118.896484	-90.197617
17140.429688	-88.588547
17161.962891	-88.541481
17183.496094	-89.302841
17205.029297	-88.864014
17226.562500	-88.971886
17248.095703	-89.005745
17269.628906	-88.936951
17291.162109	-89.730286
17312.695313	-89.183899
17334.228516	-89.538261
17355.761719	-90.369156
17377.294922	-89.444366
17398.828125	-88.352203
17420.361328	-88.986954
17441.894531	-89.911598
17463.427734	-88.133507
17484.960938	-90.176018
17506.494141	-90.252151
17528.027344	-90.831841
17549.560547	-90.776352
17571.093750	-90.723480
17592.626953	-90.667786
17614.160156	-91.040588
17635.693359	-90.429214
17657.226563	-90.548302
17678.759766	-91.051651
17700.292969	-89.777374
17721.826172	-89.365547
17743.359375	-89.854233
17764.892578	-89.513451
17786.425781	-89.485954
17807.958984	-90.061783
17829.492188	-89.356285
17851.025391	-89.578964
17872.558594	-91.173325
17894.091797	-91.642166
17915.625000	-89.944588
17937.158203	-90.891312
17958.691406	-90.173561
17980.224609	-90.352570
18001.757813	-91.856140
18023.291016	-90.044174
18044.824219	-89.842163
18066.357422	-91.672302
18087.890625	-90.561882
18109.423828	-89.842751
18130.957031	-91.629082
18152.490234	-92.411957
18174.023438	-91.597214
18195.556641	-90.939255
18217.089844	-90.382904
18238.623047	-90.646576
18260.156250	-90.925812
18281.689453	-90.617188
18303.222656	-90.393898
18324.755859	-91.113235
18346.289063	-92.426765
18367.822266	-91.954903
18389.355469	-90.883339
18410.888672	-89.733444
18432.421875	-89.547806
18453.955078	-89.438301
18475.488281	-90.356216
18497.021484	-91.951065
18518.554688	-91.893204
18540.087891	-93.130516
18561.621094	-91.415771
18583.154297	-91.150894
18604.687500	-92.530449
18626.220703	-91.678696
18647.753906	-91.015556
18669.287109	-92.224083
18690.820313	-91.964783
18712.353516	-91.586044
18733.886719	-91.611519
18755.419922	-92.302238
18776.953125	-92.074738
18798.486328	-91.999260
18820.019531	-92.063583
18841.552734	-90.795738
18863.085938	-91.549171
18884.619141	-92.436989
18906.152344	-91.743851
18927.685547	-91.433495
18949.218750	-92.191673
18970.751953	-91.647163
18992.285156	-91.724960
19013.818359	-92.631760
19035.351563	-92.859055
19056.884766	-93.186356
19078.417969	-92.051353
19099.951172	-91.542526
19121.484375	-92.793205
19143.017578	-92.715172
19164.550781	-92.544441
19186.083984	-92.406410
19207.617188	-93.242348
19229.150391	-92.393250
19250.683594	-93.355141
19272.216797	-93.030411
19293.750000	-93.624100
19315.283203	-93.203117
19336.816406	-92.181702
19358.349609	-92.160728
19379.882813	-91.245438
19401.416016	-91.773430
19422.949219	-92.554070
19444.482422	-94.110184
19466.015625	-92.780556
19487.548828	-92.341125
19509.082031	-92.817017
19530.615234	-92.464821
19552.148438	-93.173119
19573.681641	-92.203232
19595.214844	-92.300362
19616.748047	-93.186073
19638.281250	-93.750786
19659.814453	-93.146919
19681.347656	-92.731590
19702.880859	-93.614166
19724.414063	-93.032120
19745.947266	-92.878044
19767.480469	-93.735245
19789.013672	-94.596497
19810.546875	-94.461304
19832.080078	-93.813141
19853.613281	-93.756271
19875.146484	-94.676674
19896.679688	-94.101082
19918.212891	-93.661644
19939.746094	-94.359741
19961.279297	-93.928123
19982.812500	-93.860672
20004.345703	-92.787025
20025.878906	-93.950829
20047.412109	-93.991135
20068.945313	-93.617378
20090.478516	-93.654251
20112.011719	-93.501968
20133.544922	-93.017189
20155.078125	-93.168877
20176.611328	-92.994904
20198.144531	-93.443298
20219.677734	-93.427383
20241.210938	-93.841438
20262.744141	-93.841988
20284.277344	-93.978783
20305.810547	-93.222336
20327.343750	-94.412903
20348.876953	-95.319626
20370.410156	-94.959427
20391.943359	-94.491463
20413.476563	-93.703873
20435.009766	-93.383514
20456.542969	-92.992264
20478.076172	-92.610420
20499.609375	-93.558403
20521.142578	-94.551216
20542.675781	-94.278542
20564.208984	-93.851425
20585.742188	-94.108139
20607.275391	-95.317787
20628.808594	-95.531120
20650.341797	-95.057808
20671.875000	-95.459122
20693.408203	-95.342133
20714.941406	-94.444946
20736.474609	-94.723274
20758.007813	-94.431984
20779.541016	-94.911621
20801.074219	-96.037766
20822.607422	-95.489029
20844.140625	-95.149979
20865.673828	-95.866257
20887.207031	-96.575485
20908.740234	-95.810570
20930.273438	-95.583450
20951.806641	-96.124588
20973.339844	-96.681999
20994.873047	-96.939415
21016.406250	-97.082047
21037.939453	-96.639961
21059.472656	-96.607048
21081.005859	-97.644882
21102.539063	-96.929611
21124.072266	-96.690132
21145.605469	-96.574242
21167.138672	-96.793053
21188.671875	-96.200996
21210.205078	-96.887299
21231.738281	-98.142387
21253.271484	-97.616653
21274.804688	-98.151421
21296.337891	-98.427269
21317.871094	-98.156799
21339.404297	-99.034866
21360.937500	-98.986656
21382.470703	-98.476173
21404.003906	-98.634995
21425.537109	-98.853569
21447.070313	-98.460274
21468.603516	-99.121216
21490.136719	-99.625160
21511.669922	-99.161629
21533.203125	-98.033058
21554.736328	-98.393509
21576.269531	-99.117989
21597.802734	-98.476357
21619.335938	-98.588463
21640.869141	-98.287079
21662.402344	-98.615387
21683.935547	-98.684326
21705.468750	-99.689705
21727.001953	-100.205193
21748.535156	-98.690170
21770.068359	-99.168869
21791.601563	-99.248901
21813.134766	-99.173866
21834.667969	-98.439056
21856.201172	-99.035461
21877.734375	-99.718216
21899.267578	-99.337517
21920.800781	-100.455109
21942.333984	-101.039734
21963.867188	-100.125488
21985.400391	-100.253494
22006.933594	-100.419708
22028.466797	-101.691269
